1254166677.942678 __libc_start_main(0x8049124, 1, 0xbff462a4, 0x804d850, 0x804d840 <unfinished ...>
1254166677.942817 calloc(1, 944)                                                                 = 0x080f2008
1254166677.943015 clock_gettime(1, 0xbff461b8, 0, 0, 0)                                          = 0
1254166677.943120 clock_gettime(1, 0xbff4618c, 0x80f2008, 0x8048d30, 0xbff461c8)                 = 0
1254166677.943220 getenv("EVENT_NOEPOLL")                                                        = NULL
1254166677.943311 getrlimit(7, 0xbff46184, 0x80f2008, 0x8048d30, 0xbff461c8)                     = 0
1254166677.943410 epoll_create(1023, 0xbff46184, 0x80f2008, 0x8048d30, 0xbff461c8)               = 3
1254166677.943517 fcntl(3, 2, 1, 0x8048d30, 0xbff461c8)                                          = 0
1254166677.943618 calloc(1, 20)                                                                  = 0x080f23c0
1254166677.944349 malloc(12276)                                                                  = 0x080f23d8
1254166677.944424 calloc(1023, 8)                                                                = 0x080f53d0
1254166677.944507 socketpair(1, 1, 0, 0x80f2070, 0x80f53c8)                                      = 0
1254166677.944621 fcntl(4, 2, 1, 0x80f2070, 0x80f53c8)                                           = 0
1254166677.944792 fcntl(5, 2, 1, 0x80f2070, 0x80f53c8)                                           = 0
1254166677.944889 fcntl(4, 4, 2048, 0x80f2008, 3)                                                = 0
1254166677.945114 getenv("EVENT_SHOW_METHOD")                                                    = NULL
1254166677.945198 calloc(1, 4)                                                                   = 0x080f73d0
1254166677.945277 malloc(8)                                                                      = 0x080f73e0
1254166677.945347 calloc(1, 172)                                                                 = 0x080f73f0
1254166677.945418 calloc(1, 104)                                                                 = 0x080f74a0
1254166677.945497 strdup("1.1.1.1")                                                              = 0x080f7510
1254166677.945578 realloc(NULL, 32)                                                              = 0x080f7520
1254166677.945660 clock_gettime(1, 0xbff4618c, 0x80f2008, -1, 0xbff461d8)                        = 0
1254166677.945757 clock_gettime(1, 0xbff4618c, 0x80f2008, -1, 0xbff461d8)                        = 0
1254166677.945853 clock_gettime(1, 0xbff4614c, 0xb7ef2160, 32, 0xb7ef2160)                       = 0
1254166677.945949 clock_gettime(1, 0xbff4614c, 0xb7ef2160, 32, 0xb7ef2160)                       = 0
1254166677.946044 epoll_wait(3, 0x80f23d8, 1023, 0, 0xb7ef2160)                                  = 0
1254166677.946143 clock_gettime(1, 0xbff4614c, 1023, 0, 0xb7ef2160)                              = 0
1254166677.946240 gettimeofday(0xbff4614c, NULL)                                                 = 0
1254166677.946330 printf("timerRetrieveTask() -> [time %d]"..., 1254166677)                      = 41
1254166677.946620 inet_aton("1.1.1.1", 0xbff46110)                                               = 1
1254166677.946715 htons(80, 0xbff46110, 0x804e170, 1, 0xb7dd530b)                                = 20480
1254166677.946801 bzero(0xbff4611c, 8)                                                           = <void>
1254166677.946872 socket(2, 1, 0)                                                                = 6
1254166677.946970 fcntl(6, 4, 2048, 0xbff46128, 0x80f74a0)                                       = 0
1254166677.947066 gettimeofday(0x0804e1d8, NULL)                                                 = 0
1254166677.947152 printf("InitConnectTo()  [time: %d]\n", 1254166677)                            = 36
1254166677.947284 connect(6, 0xbff46114, 16, 1, 0xb7dd530b)                                      = -1
1254166677.947445 calloc(1, 208)                                                                 = 0x080f7548
1254166677.947519 calloc(1, 28)                                                                  = 0x080f7620
1254166677.947609 calloc(1, 28)                                                                  = 0x080f7640
1254166677.947682 epoll_ctl(3, 1, 6, 0xbff46040, 0xb7d95348)                                     = 0
1254166677.947792 epoll_wait(3, 0x80f23d8, 1023, 1000, 0xb7ef2160)                               = 0
1254166678.945564 clock_gettime(1, 0xbff4614c, 1023, 1000, 0xb7ef2160)                           = 0
1254166678.945667 epoll_wait(3, 0x80f23d8, 1023, 1, 0xb7ef2160)                                  = 0
1254166678.949527 clock_gettime(1, 0xbff4614c, 1023, 1, 0xb7ef2160)                              = 0
1254166678.949630 gettimeofday(0xbff4614c, NULL)                                                 = 0
1254166678.949719 printf("timerSendReport() -> [time: %d]\n", 1254166678)                        = 40
1254166678.949845 epoll_wait(3, 0x80f23d8, 1023, 3997, 0xb7ef2160)                               = 0
1254166682.949559 clock_gettime(1, 0xbff4614c, 1023, 3997, 0xb7ef2160)                           = 0
1254166682.949664 epoll_ctl(3, 2, 6, 0xbff46118, 0x80f2008)                                      = 0
1254166682.949769 free(0x080f7620)                                                               = <void>
1254166682.949847 free(0x080f7640)                                                               = <void>
1254166682.949916 free(0x080f7548)                                                               = <void>
1254166682.949986 close(6)                                                                       = 0
1254166682.950091 shutdown(6, 1, 1023, 3997, 0xb7ef2160)                                         = -1
1254166682.950193 gettimeofday(0x0804e1d8, NULL)                                                 = 0
1254166682.950279 printf("OnBufferedError()  [time: %d]\n", 1254166682)                          = 38
1254166682.950404 gettimeofday(0xbff4614c, NULL)                                                 = 0
1254166682.950491 printf("timerSendReport() -> [time: %d]\n", 1254166682)                        = 40
1254166682.950607 epoll_wait(3, 0x80f23d8, 1023, 1000, 0xb7ef2160
