1254166702.599395 __libc_start_main(0x804911e, 1, 0xbfbe81c4, 0x804d850, 0x804d840 <unfinished ...>
1254166702.599535 calloc(1, 944)                                                                 = 0x09b4c008
1254166702.599733 clock_gettime(1, 0xbfbe80d8, 0, 0, 0)                                          = 0
1254166702.599836 clock_gettime(1, 0xbfbe80ac, 0x9b4c008, 0x8048d30, 0xbfbe80e8)                 = 0
1254166702.599934 getenv("EVENT_NOEPOLL")                                                        = NULL
1254166702.600024 getrlimit(7, 0xbfbe80a4, 0x9b4c008, 0x8048d30, 0xbfbe80e8)                     = 0
1254166702.600122 epoll_create(1023, 0xbfbe80a4, 0x9b4c008, 0x8048d30, 0xbfbe80e8)               = 3
1254166702.600227 fcntl(3, 2, 1, 0x8048d30, 0xbfbe80e8)                                          = 0
1254166702.600326 calloc(1, 20)                                                                  = 0x09b4c3c0
1254166702.600398 malloc(12276)                                                                  = 0x09b4c3d8
1254166702.600473 calloc(1023, 8)                                                                = 0x09b4f3d0
1254166702.600555 socketpair(1, 1, 0, 0x9b4c070, 0x9b4f3c8)                                      = 0
1254166702.600669 fcntl(4, 2, 1, 0x9b4c070, 0x9b4f3c8)                                           = 0
1254166702.600804 fcntl(5, 2, 1, 0x9b4c070, 0x9b4f3c8)                                           = 0
1254166702.600899 fcntl(4, 4, 2048, 0x9b4c008, 3)                                                = 0
1254166702.601023 getenv("EVENT_SHOW_METHOD")                                                    = NULL
1254166702.601106 calloc(1, 4)                                                                   = 0x09b513d0
1254166702.601177 malloc(8)                                                                      = 0x09b513e0
1254166702.601245 calloc(1, 172)                                                                 = 0x09b513f0
1254166702.601316 calloc(1, 104)                                                                 = 0x09b514a0
1254166702.601385 strdup("1.1.1.1")                                                              = 0x09b51510
1254166702.601465 realloc(NULL, 32)                                                              = 0x09b51520
1254166702.601548 clock_gettime(1, 0xbfbe80ac, 0x9b4c008, -1, 0xbfbe80f8)                        = 0
1254166702.601644 clock_gettime(1, 0xbfbe80ac, 0x9b4c008, -1, 0xbfbe80f8)                        = 0
1254166702.601738 clock_gettime(1, 0xbfbe806c, 0xb8075160, 32, 0xb8075160)                       = 0
1254166702.601831 clock_gettime(1, 0xbfbe806c, 0xb8075160, 32, 0xb8075160)                       = 0
1254166702.601924 epoll_wait(3, 0x9b4c3d8, 1023, 0, 0xb8075160)                                  = 0
1254166702.602030 clock_gettime(1, 0xbfbe806c, 1023, 0, 0xb8075160)                              = 0
1254166702.602126 gettimeofday(0xbfbe806c, NULL)                                                 = 0
1254166702.602214 printf("timerRetrieveTask() -> [time %d]"..., 1254166702)                      = 41
1254166702.602539 inet_aton("1.1.1.1", 0xbfbe8030)                                               = 1
1254166702.602635 htons(80, 0xbfbe8030, 0x804e170, 1, 0xb7f5830b)                                = 20480
1254166702.602720 bzero(0xbfbe803c, 8)                                                           = <void>
1254166702.602790 socket(2, 1, 0)                                                                = 6
1254166702.602913 fcntl(6, 4, 2048, 0xbfbe8048, 0x9b514a0)                                       = 0
1254166702.603009 gettimeofday(0x0804e1d8, NULL)                                                 = 0
1254166702.603092 printf("InitConnectTo()  [time: %d]\n", 1254166702)                            = 36
1254166702.603277 connect(6, 0xbfbe8034, 16, 1, 0xb7f5830b)                                      = -1
1254166702.603402 calloc(1, 208)                                                                 = 0x09b51548
1254166702.603474 calloc(1, 28)                                                                  = 0x09b51620
1254166702.603565 calloc(1, 28)                                                                  = 0x09b51640
1254166702.603637 epoll_ctl(3, 1, 6, 0xbfbe7f60, 0xb7f18348)                                     = 0
1254166702.603739 epoll_wait(3, 0x9b4c3d8, 1023, 1000, 0xb8075160)                               = 0
1254166703.602061 clock_gettime(1, 0xbfbe806c, 1023, 1000, 0xb8075160)                           = 0
1254166703.602166 gettimeofday(0xbfbe806c, NULL)                                                 = 0
1254166703.602255 printf("timerSendReport() -> [time: %d]\n", 1254166703)                        = 40
1254166703.602384 epoll_wait(3, 0x9b4c3d8, 1023, 1000, 0xb8075160)                               = 0
1254166704.602058 clock_gettime(1, 0xbfbe806c, 1023, 1000, 0xb8075160)                           = 0
1254166704.602161 epoll_wait(3, 0x9b4c3d8, 1023, 1, 0xb8075160)                                  = 0
1254166704.606300 clock_gettime(1, 0xbfbe806c, 1023, 1, 0xb8075160)                              = 0
1254166704.606403 gettimeofday(0xbfbe806c, NULL)                                                 = 0
1254166704.606491 printf("timerSendReport() -> [time: %d]\n", 1254166704)                        = 40
1254166704.606619 epoll_wait(3, 0x9b4c3d8, 1023, 1000, 0xb8075160)                               = 0
1254166705.606055 clock_gettime(1, 0xbfbe806c, 1023, 1000, 0xb8075160)                           = 0
1254166705.606159 epoll_wait(3, 0x9b4c3d8, 1023, 1, 0xb8075160)                                  = 0
1254166705.610015 clock_gettime(1, 0xbfbe806c, 1023, 1, 0xb8075160)                              = 0
1254166705.610117 gettimeofday(0xbfbe806c, NULL)                                                 = 0
1254166705.610204 printf("timerSendReport() -> [time: %d]\n", 1254166705)                        = 40
1254166705.610333 epoll_wait(3, 0x9b4c3d8, 1023, 1000, 0xb8075160)                               = 0
1254166706.611042 clock_gettime(1, 0xbfbe806c, 1023, 1000, 0xb8075160)                           = 0
1254166706.611146 gettimeofday(0xbfbe806c, NULL)                                                 = 0
1254166706.611233 printf("timerSendReport() -> [time: %d]\n", 1254166706)                        = 40
1254166706.611362 epoll_wait(3, 0x9b4c3d8, 1023, 991, 0xb8075160)                                = 0
1254166707.602070 clock_gettime(1, 0xbfbe806c, 1023, 991, 0xb8075160)                            = 0
1254166707.602177 epoll_ctl(3, 2, 6, 0xbfbe8038, 0x9b4c008)                                      = 0
1254166707.602283 free(0x09b51620)                                                               = <void>
1254166707.602360 free(0x09b51640)                                                               = <void>
1254166707.602430 free(0x09b51548)                                                               = <void>
1254166707.602498 close(6)                                                                       = 0
1254166707.602604 shutdown(6, 1, 1023, 991, 0xb8075160)                                          = -1
1254166707.602805 gettimeofday(0x0804e1d8, NULL)                                                 = 0
1254166707.602893 printf("OnBufferedError()  [time: %d]\n", 1254166707)                          = 38
1254166707.603020 epoll_wait(3, 0x9b4c3d8, 1023, 9, 0xb8075160)                                  = 0
1254166707.614078 clock_gettime(1, 0xbfbe806c, 1023, 9, 0xb8075160)                              = 0
1254166707.614184 gettimeofday(0xbfbe806c, NULL)                                                 = 0
1254166707.614272 printf("timerSendReport() -> [time: %d]\n", 1254166707)                        = 40
1254166707.614399 epoll_wait(3, 0x9b4c3d8, 1023, 1000, 0xb8075160)                               = 0
1254166708.614071 clock_gettime(1, 0xbfbe806c, 1023, 1000, 0xb8075160)                           = 0
1254166708.614174 epoll_wait(3, 0x9b4c3d8, 1023, 1, 0xb8075160)                                  = 0
1254166708.618021 clock_gettime(1, 0xbfbe806c, 1023, 1, 0xb8075160)                              = 0
1254166708.618138 gettimeofday(0xbfbe806c, NULL)                                                 = 0
1254166708.618226 printf("timerSendReport() -> [time: %d]\n", 1254166708)                        = 40
1254166708.618356 epoll_wait(3, 0x9b4c3d8, 1023, 1000, 0xb8075160
